# Observation date	Center [Å]	Width	Amplitude	Skew	RMSE	FWHM [Å]	EW [Å]
2015-09-20T01:47:39.845000	[5945.67214475,5945.57452786]	[0.0156797 ,0.01826497]	[0.05453291,0.03383569]	[ 1.75602896,-2.51974395]	0.0023777756209914045	0.12841518298345925	0.016233870841804218
2015-09-20T01:47:39.845000	[6139.8315609 ,6140.02560122,6139.61372999]	[0.01350617,0.00712144,0.0206638 ]	[0.06629674,0.08494001,0.08913592]	[-7.61218049e-04, 1.10092190e+00,-5.29535589e-01]	0.0010581275645145623	0.2098990409614164	0.013284009958046655
2015-09-20T01:47:39.845000	[6194.83040178,6194.44723137,6194.59830535]	[0.86343982,0.01503818,0.0189017 ]	[3.33287877e-05,4.92861445e-02,5.05405288e-02]	[ 2.34486137,-0.22783588, 0.22918278]	0.0013833703831314203	0.11901385036485411	0.006069729954899104
2016-08-14T01:36:06.410000	[5506.2]	[0.1]	[0.1]	[2.]	0.002026536846635441	0.23548200450309495	0.0
2016-08-14T01:36:06.410000	[4988.]	[0.1]	[0.1]	[2.]	0.005188211311609287	0.23548200450309495	0.0
2016-08-14T01:36:06.410000	[5404.12573017,5404.73417604,5404.24005274]	[0.01709646,0.00013935,0.00318869]	[0.30728689,0.49122933,0.00153393]	[-0.46760287,-3.94123444, 0.69331859]	0.0010212791129526576	1.1567566701163003	0.024122668372122093
2016-08-14T01:36:06.410000	[5521.33765813,5521.47774189,5521.59125048]	[0.00297633,0.00244128,0.00412891]	[0.04797894,0.01319883,0.07547972]	[-0.81594476,-0.05688704,-0.04083793]	0.0010863086811417487	0.17774116909990953	0.0018335077682383213
2016-08-14T01:36:06.410000	[5544.67806022,5544.72145215,5545.0096266 ]	[0.03432034,0.0112076 ,0.02647293]	[0.08496498,0.00185359,0.16765702]	[ 0.22400954,-2.67069936,-0.10174524]	0.0041809687888800795	0.3948021078207876	0.02669095083392256
2016-08-14T01:36:06.410000	[5503.3]	[0.1]	[0.1]	[2.]	0.014669183963840768	0.23548200450309495	0.0
2016-08-14T01:36:06.410000	[5512.35777514,5512.70906744,5512.48901854]	[0.02143093,0.01784271,0.00270283]	[0.09194826,0.06924797,0.02891568]	[-0.6274613 , 0.46592068,-0.44402389]	0.000793819516548415	0.21652161745325096	0.012763168386510869
2016-08-14T01:36:06.410000	[5256.4       ,5257.52728472,5257.03043723]	[2.45051370e-04,1.04219853e-02,4.95260940e-17]	[2.74783733,1.01521707,0.54635195]	[-3.48779695, 0.29959791,27.83212686]	0.00192174759898577	6.470662424411112	0.0777272829143289
2016-08-14T01:36:06.410000	[5527.4]	[0.1]	[0.1]	[2.]	0.0010842031740584603	0.23548200450309495	0.0
2016-08-14T01:36:06.410000	[5541.61985918,5541.80335523,5541.7817488 ]	[0.01364599,0.00374941,0.02393493]	[0.09930153,0.02751922,4.64435081]	[ 0.12997242,-0.06209774,-0.13925948]	0.005560222304368313	10.936610391349415	0.39838012374728116
